UID	dnNameType	LAST NAME	FIRST NAME	ALIAS	ALTERNATIVE SPELLING	CATEGORY	TITLE	SUB-CATEGORY	POSITION	AGE	DOB	DOBS	PLACE OF BIRTH	DECEASED	PASSPORTS	SSN	IDENTIFICATION NUMBERS	LOCATIONS	COUNTRIES	CITIZENSHIP	E/I	dnCity	dnState	dnCountry	ENTERED	UPDATED	EDITOR	AGE DATE (AS OF DATE)	KEYWORDS
7014444	Primary	NP DUDINKA				VESSEL											{INT-IMO}9183831	~,~	UNKNOWN	UNKNOWN	E					2025/08/07			EUFSR-RUS~EUFSR-RUS-VES
7014827	Primary	SPARTA				VESSEL											{INT-IMO}9268710	~,~	UNKNOWN	UNKNOWN	E					2026/04/24			EUFSR-RUS~EUFSR-RUS-VES
7017962	Primary	KIRILL LAVROV				VESSEL											{INT-IMO}9333682	~,~	UNKNOWN	UNKNOWN	E					2025/12/18			EUFSR-RUS~EUFSR-RUS-VES
7026998	Primary	AVIOR				VESSEL											{INT-IMO}9164512	~,~	UNKNOWN	UNKNOWN	E					2025/08/07			EUFSR-RUS~EUFSR-RUS-VES
7027478	Primary	SANAR-9				VESSEL											{INT-IMO}9300350	~,~	UNKNOWN	UNKNOWN	E					2025/12/18			EUFSR-RUS~EUFSR-RUS-VES
7028639	Primary	SANAR-14				VESSEL											{INT-IMO}9313589	~,~	UNKNOWN	UNKNOWN	E					2025/12/18			EUFSR-RUS~EUFSR-RUS-VES
7028921	Primary	KUPAVA				VESSEL											{INT-IMO}9749154	~,~	UNKNOWN	UNKNOWN	E					2025/08/06			EUFSR-RUS~EUFSR-RUS-VES
7034278	Primary	NIMBUS SPB				VESSEL											{INT-IMO}8821761	~,~	UNKNOWN	UNKNOWN	E					2025/08/07			EUFSR-RUS~EUFSR-RUS-VES
7039689	Primary	OPHELIA				VESSEL											{INT-IMO}8010427	~,~	UNKNOWN	UNKNOWN	E					2025/10/23			EUFSR-RUS~EUFSR-RUS-VES
7039762	Primary	VOLGONEFT 251				VESSEL											{INT-IMO}8231057	~,~	UNKNOWN	UNKNOWN	E					2025/08/08			EUFSR-RUS~EUFSR-RUS-VES
7039819	Primary	PARTIZANSK				VESSEL											{INT-IMO}8700096	~,~	UNKNOWN	UNKNOWN	E					2025/08/07			EUFSR-RUS~EUFSR-RUS-VES
7040044	Primary	VOLGONEFT 160				VESSEL											{INT-IMO}8867129	~,~	UNKNOWN	UNKNOWN	E					2025/08/08			EUFSR-RUS~EUFSR-RUS-VES
7040233	Primary	NORDSTRAUM				VESSEL											{INT-IMO}9036284	~,~	UNKNOWN	UNKNOWN	E					2025/10/23			EUFSR-RUS~EUFSR-RUS-VES
7040239	Primary	IMMANUEL				VESSEL											{INT-IMO}9056571	~,~	UNKNOWN	UNKNOWN	E					2025/08/07			EUFSR-RUS~EUFSR-RUS-VES
7040269	Primary	TAIMYR				VESSEL											{INT-IMO}9105140	~,~	UNKNOWN	UNKNOWN	E					2025/08/06			EUFSR-RUS~EUFSR-RUS-VES
7040279	Primary	OKEAN				VESSEL											{INT-IMO}9142916	~,~	UNKNOWN	UNKNOWN	E					2025/08/07			EUFSR-RUS~EUFSR-RUS-VES
7040283	Primary	ODIN				VESSEL											{INT-IMO}9151890	~,~	UNKNOWN	UNKNOWN	E					2025/08/07			EUFSR-RUS~EUFSR-RUS-VES
7040286	Primary	ARNO BABAJANYAN				VESSEL											{INT-IMO}9163764	~,~	UNKNOWN	UNKNOWN	E					2025/08/07			EUFSR-RUS~EUFSR-RUS-VES
7040297	Primary	ANABAR				VESSEL											{INT-IMO}9194012	~,~	UNKNOWN	UNKNOWN	E					2025/10/23			EUFSR-RUS~EUFSR-RUS-VES
7040302	Primary	PRIMORYE				VESSEL											{INT-IMO}9236743	~,~	UNKNOWN	UNKNOWN	E					2025/10/24			EUFSR-RUS~EUFSR-RUS-VES
7040348	Primary	JUPITER I				VESSEL											{INT-IMO}9599341	~,~	UNKNOWN	UNKNOWN	E					2026/04/24			EUFSR-RUS~EUFSR-RUS-VES
7040352	Primary	VF TANKER-3				VESSEL											{INT-IMO}9640516	~,~	UNKNOWN	UNKNOWN	E					2025/08/06			EUFSR-RUS~EUFSR-RUS-VES
7040353	Primary	VF TANKER-4				VESSEL											{INT-IMO}9640528	~,~	UNKNOWN	UNKNOWN	E					2025/08/06			EUFSR-RUS~EUFSR-RUS-VES
7040365	Primary	SATURN I				VESSEL											{INT-IMO}9655470	~,~	UNKNOWN	UNKNOWN	E					2025/08/06			EUFSR-RUS~EUFSR-RUS-VES
7040389	Primary	SHTURMAN SKURATOV				VESSEL											{INT-IMO}9759915	~,~	UNKNOWN	UNKNOWN	E					2025/08/07			EUFSR-RUS~EUFSR-RUS-VES
7040390	Primary	SHTURMAN SHCHERBININ				VESSEL											{INT-IMO}9759927	~,~	UNKNOWN	UNKNOWN	E					2025/12/18			EUFSR-RUS~EUFSR-RUS-VES
7040391	Primary	SHTURMAN KOSHELEV				VESSEL											{INT-IMO}9759939	~,~	UNKNOWN	UNKNOWN	E					2025/12/18			EUFSR-RUS~EUFSR-RUS-VES
7040396	Primary	VLADIMIR VINOGRADOV				VESSEL											{INT-IMO}9842188	~,~	UNKNOWN	UNKNOWN	E					2025/08/05			EUFSR-RUS~EUFSR-RUS-VES
7041581	Primary	ZAL PARS 3				VESSEL											{INT-IMO}9211896	~,~	UNKNOWN	UNKNOWN	E					2025/12/18			EUFSR-RUS~EUFSR-RUS-VES
7063421	Primary	SEA MAVERICK				VESSEL											{INT-IMO}9265885	~,~	UNKNOWN	UNKNOWN	E					2025/10/23			EUFSR-RUS~EUFSR-RUS-VES
7063534	Primary	THEMIS				VESSEL											{INT-IMO}9264570	~,~	UNKNOWN	UNKNOWN	E					2025/08/07			EUFSR-RUS~EUFSR-RUS-VES
7072583	Primary	LADOGA				VESSEL											{INT-IMO}9339313	~,~	UNKNOWN	UNKNOWN	E					2025/10/24			EUFSR-RUS~EUFSR-RUS-VES
7072592	Primary	ANDROMEDA				VESSEL											{INT-IMO}9292204	~,~	UNKNOWN	UNKNOWN	E					2025/08/05			EUFSR-RUS~EUFSR-RUS-VES
7072627	Primary	VEGA				VESSEL											{INT-IMO}9316127	~,~	UNKNOWN	UNKNOWN	E					2025/08/05			EUFSR-RUS~EUFSR-RUS-VES
7072696	Primary	LEGACY				VESSEL											{INT-IMO}9339337	~,~	UNKNOWN	UNKNOWN	E					2025/08/05			EUFSR-RUS~EUFSR-RUS-VES
7072696	Alias	LEGACY		NS Lotus		VESSEL											{INT-IMO}9339337	~,~	UNKNOWN	UNKNOWN	E					2025/08/05			EUFSR-RUS~EUFSR-RUS-VES
7072875	Primary	ANATOLY KOLODKIN				VESSEL											{INT-IMO}9610808	~,~	UNKNOWN	UNKNOWN	E					2025/08/06			EUFSR-RUS~EUFSR-RUS-VES
7072903	Primary	PACIFIC				VESSEL											{INT-IMO}9329667	~,~	UNKNOWN	UNKNOWN	E					2025/08/06			EUFSR-RUS~EUFSR-RUS-VES
7072940	Primary	PROXIMA				VESSEL											{INT-IMO}9329655	~,~	UNKNOWN	UNKNOWN	E					2025/08/07			EUFSR-RUS~EUFSR-RUS-VES
7073011	Primary	CAPTAIN KOSTICHEV				VESSEL											{INT-IMO}9301392	~,~	UNKNOWN	UNKNOWN	E					2025/08/05			EUFSR-RUS~EUFSR-RUS-VES
7073019	Primary	PROSPERITY				VESSEL											{INT-IMO}9322956	~,~	UNKNOWN	UNKNOWN	E					2025/08/06			EUFSR-RUS~EUFSR-RUS-VES
7073019	Alias	PROSPERITY		NS Pride		VESSEL											{INT-IMO}9322956	~,~	UNKNOWN	UNKNOWN	E					2025/08/06			EUFSR-RUS~EUFSR-RUS-VES
7073063	Primary	HYPERION				VESSEL											{INT-IMO}9322968	~,~	UNKNOWN	UNKNOWN	E					2025/08/06			EUFSR-RUS~EUFSR-RUS-VES
7073074	Primary	ECHO				VESSEL											{INT-IMO}9276030	~,~	UNKNOWN	UNKNOWN	E					2025/08/05			EUFSR-RUS~EUFSR-RUS-VES
7073074	Alias	ECHO		Elbrus		VESSEL											{INT-IMO}9276030	~,~	UNKNOWN	UNKNOWN	E					2025/08/05			EUFSR-RUS~EUFSR-RUS-VES
7073877	Primary	GEORGY MASLOV				VESSEL											{INT-IMO}9610793	~,~	UNKNOWN	UNKNOWN	E					2025/08/05			EUFSR-RUS~EUFSR-RUS-VES
7073903	Primary	KAZAN				VESSEL											{INT-IMO}9258002	~,~	UNKNOWN	UNKNOWN	E					2025/08/06			EUFSR-RUS~EUFSR-RUS-VES
7073920	Primary	GALAXY				VESSEL											{INT-IMO}9826902	~,~	UNKNOWN	UNKNOWN	E					2025/08/15			EUFSR-RUS~EUFSR-RUS-VES
7073944	Primary	KRYMSK				VESSEL											{INT-IMO}9270529	~,~	UNKNOWN	UNKNOWN	E					2025/08/05			EUFSR-RUS~EUFSR-RUS-VES
7073970	Primary	LEO				VESSEL											{INT-IMO}9412347	~,~	UNKNOWN	UNKNOWN	E					2025/08/05			EUFSR-RUS~EUFSR-RUS-VES
7073996	Primary	LIGOVSKY PROSPECT				VESSEL											{INT-IMO}9256066	~,~	UNKNOWN	UNKNOWN	E					2025/08/06			EUFSR-RUS~EUFSR-RUS-VES
7074020	Primary	LITEYNY PROSPECT				VESSEL											{INT-IMO}9256078	~,~	UNKNOWN	UNKNOWN	E					2025/10/24			EUFSR-RUS~EUFSR-RUS-VES
7074192	Primary	MIKHAIL LAZAREV				VESSEL											{INT-IMO}9837547	~,~	UNKNOWN	UNKNOWN	E					2026/04/24			EUFSR-RUS~EUFSR-RUS-VES
7074232	Primary	MIKHAIL ULYANOV				VESSEL											{INT-IMO}9333670	~,~	UNKNOWN	UNKNOWN	E					2026/04/24			EUFSR-RUS~EUFSR-RUS-VES
7074273	Primary	MERIDIAN				VESSEL											{INT-IMO}9511521	~,~	UNKNOWN	UNKNOWN	E					2025/08/05			EUFSR-RUS~EUFSR-RUS-VES
7074273	Alias	MERIDIAN		Moskovsky Prospect		VESSEL											{INT-IMO}9511521	~,~	UNKNOWN	UNKNOWN	E					2025/08/05			EUFSR-RUS~EUFSR-RUS-VES
7074295	Primary	NEVSKIY PROSPECT				VESSEL											{INT-IMO}9256054	~,~	UNKNOWN	UNKNOWN	E					2025/10/24			EUFSR-RUS~EUFSR-RUS-VES
7074322	Primary	NIKOLAY ZADORNOV				VESSEL											{INT-IMO}9901037	~,~	UNKNOWN	UNKNOWN	E					2025/08/05			EUFSR-RUS~EUFSR-RUS-VES
7074558	Primary	ZENITH				VESSEL											{INT-IMO}9610781	~,~	UNKNOWN	UNKNOWN	E					2025/08/05			EUFSR-RUS~EUFSR-RUS-VES
7074577	Primary	ATLAS				VESSEL											{INT-IMO}9413573	~,~	UNKNOWN	UNKNOWN	E					2025/08/06			EUFSR-RUS~EUFSR-RUS-VES
7074588	Primary	ANTARKTIKA				VESSEL											{INT-IMO}9413559	~,~	UNKNOWN	UNKNOWN	E					2025/10/23			EUFSR-RUS~EUFSR-RUS-VES
7074669	Primary	SAGA				VESSEL											{INT-IMO}9318553	~,~	UNKNOWN	UNKNOWN	E					2025/08/05			EUFSR-RUS~EUFSR-RUS-VES
7074669	Alias	SAGA		NS Spirit		VESSEL											{INT-IMO}9318553	~,~	UNKNOWN	UNKNOWN	E					2025/08/05			EUFSR-RUS~EUFSR-RUS-VES
7074713	Primary	ALTAIR				VESSEL											{INT-IMO}9413547	~,~	UNKNOWN	UNKNOWN	E					2025/08/05			EUFSR-RUS~EUFSR-RUS-VES
7074746	Primary	ALLIANCE				VESSEL											{INT-IMO}9413561	~,~	UNKNOWN	UNKNOWN	E					2025/08/05			EUFSR-RUS~EUFSR-RUS-VES
7074778	Primary	BOLERO				VESSEL											{INT-IMO}9412335	~,~	UNKNOWN	UNKNOWN	E					2025/08/05			EUFSR-RUS~EUFSR-RUS-VES
7075807	Primary	BELGOROD				VESSEL											{INT-IMO}9412359	~,~	UNKNOWN	UNKNOWN	E					2025/08/05			EUFSR-RUS~EUFSR-RUS-VES
7075821	Primary	BRATSK				VESSEL											{INT-IMO}9411020	~,~	UNKNOWN	UNKNOWN	E					2025/08/05			EUFSR-RUS~EUFSR-RUS-VES
7075831	Primary	KALININGRAD				VESSEL											{INT-IMO}9341067	~,~	UNKNOWN	UNKNOWN	E					2025/08/05			EUFSR-RUS~EUFSR-RUS-VES
7075845	Primary	KARELIYA				VESSEL											{INT-IMO}9306782	~,~	UNKNOWN	UNKNOWN	E					2025/08/06			EUFSR-RUS~EUFSR-RUS-VES
7075863	Primary	KOTLAS				VESSEL											{INT-IMO}9299719	~,~	UNKNOWN	UNKNOWN	E					2025/08/06			EUFSR-RUS~EUFSR-RUS-VES
7075875	Primary	CASSIOPEIA				VESSEL											{INT-IMO}9341081	~,~	UNKNOWN	UNKNOWN	E					2025/08/05			EUFSR-RUS~EUFSR-RUS-VES
7075907	Primary	KEMEROVO				VESSEL											{INT-IMO}9312884	~,~	UNKNOWN	UNKNOWN	E					2025/08/05			EUFSR-RUS~EUFSR-RUS-VES
7075933	Primary	CONSTELLATION				VESSEL											{INT-IMO}9306794	~,~	UNKNOWN	UNKNOWN	E					2025/08/05			EUFSR-RUS~EUFSR-RUS-VES
7075948	Primary	KOLOMNA				VESSEL											{INT-IMO}9341093	~,~	UNKNOWN	UNKNOWN	E					2025/08/07			EUFSR-RUS~EUFSR-RUS-VES
7075963	Primary	CAPELLA				VESSEL											{INT-IMO}9341079	~,~	UNKNOWN	UNKNOWN	E					2025/08/05			EUFSR-RUS~EUFSR-RUS-VES
7076050	Primary	KRASNOYARSK				VESSEL											{INT-IMO}9312896	~,~	UNKNOWN	UNKNOWN	E					2025/08/05			EUFSR-RUS~EUFSR-RUS-VES
7076092	Primary	LEVEL				VESSEL											{INT-IMO}9339325	~,~	UNKNOWN	UNKNOWN	E					2025/10/24			EUFSR-RUS~EUFSR-RUS-VES
7076141	Primary	NS LEADER				VESSEL											{INT-IMO}9339301	~,~	UNKNOWN	UNKNOWN	E					2025/08/06			EUFSR-RUS~EUFSR-RUS-VES
7076408	Primary	SYMPHONY				VESSEL											{INT-IMO}9309588	~,~	UNKNOWN	UNKNOWN	E					2025/08/06			EUFSR-RUS~EUFSR-RUS-VES
7076529	Primary	SERENADE				VESSEL											{INT-IMO}9318541	~,~	UNKNOWN	UNKNOWN	E					2025/08/05			EUFSR-RUS~EUFSR-RUS-VES
7076529	Alias	SERENADE		NS Stream		VESSEL											{INT-IMO}9318541	~,~	UNKNOWN	UNKNOWN	E					2025/08/05			EUFSR-RUS~EUFSR-RUS-VES
7076547	Primary	OLYMPUS				VESSEL											{INT-IMO}9511387	~,~	UNKNOWN	UNKNOWN	E					2025/08/06			EUFSR-RUS~EUFSR-RUS-VES
7076558	Primary	PEGASUS				VESSEL											{INT-IMO}9276028	~,~	UNKNOWN	UNKNOWN	E					2025/10/24			EUFSR-RUS~EUFSR-RUS-VES
7076571	Primary	ZALIV VOSTOK				VESSEL											{INT-IMO}9360130	~,~	UNKNOWN	UNKNOWN	E					2025/08/15			EUFSR-RUS~EUFSR-RUS-VES
7076575	Primary	PAVEL CHERNYSH				VESSEL											{INT-IMO}9301380	~,~	UNKNOWN	UNKNOWN	E					2025/08/05			EUFSR-RUS~EUFSR-RUS-VES
7076586	Primary	RIGEL				VESSEL											{INT-IMO}9511533	~,~	UNKNOWN	UNKNOWN	E					2025/08/05			EUFSR-RUS~EUFSR-RUS-VES
7076588	Primary	ZALIV BAIKAL				VESSEL											{INT-IMO}9360128	~,~	UNKNOWN	UNKNOWN	E					2025/08/15			EUFSR-RUS~EUFSR-RUS-VES
7076590	Primary	PEARL				VESSEL											{INT-IMO}9630028	~,~	UNKNOWN	UNKNOWN	E					2025/08/07			EUFSR-RUS~EUFSR-RUS-VES
7076596	Primary	ZALIV AMURSKIY				VESSEL											{INT-IMO}9354313	~,~	UNKNOWN	UNKNOWN	E					2025/08/05			EUFSR-RUS~EUFSR-RUS-VES
7076798	Primary	SAKHALIN				VESSEL											{INT-IMO}9249128	~,~	UNKNOWN	UNKNOWN	E					2026/04/24			EUFSR-RUS~EUFSR-RUS-VES
7076828	Primary	SUCCESS				VESSEL											{INT-IMO}9333436	~,~	UNKNOWN	UNKNOWN	E					2025/08/05			EUFSR-RUS~EUFSR-RUS-VES
7076828	Alias	SUCCESS		SCF Amur		VESSEL											{INT-IMO}9333436	~,~	UNKNOWN	UNKNOWN	E					2025/08/05			EUFSR-RUS~EUFSR-RUS-VES
7076850	Primary	ARIADNE				VESSEL											{INT-IMO}9397547	~,~	UNKNOWN	UNKNOWN	E					2025/08/06			EUFSR-RUS~EUFSR-RUS-VES
7076862	Primary	ARIA				VESSEL											{INT-IMO}9397559	~,~	UNKNOWN	UNKNOWN	E					2025/08/06			EUFSR-RUS~EUFSR-RUS-VES
7076870	Primary	BOBCAT				VESSEL											{INT-IMO}9422457	~,~	UNKNOWN	UNKNOWN	E					2025/10/23			EUFSR-RUS~EUFSR-RUS-VES
7076870	Alias	BOBCAT		BLOSSOM		VESSEL											{INT-IMO}9422457	~,~	UNKNOWN	UNKNOWN	E					2025/10/23			EUFSR-RUS~EUFSR-RUS-VES
7076881	Primary	BREEZE				VESSEL											{INT-IMO}9305568	~,~	UNKNOWN	UNKNOWN	E					2025/10/23			EUFSR-RUS~EUFSR-RUS-VES
7076884	Primary	ALMOND				VESSEL											{INT-IMO}9385142	~,~	UNKNOWN	UNKNOWN	E					2025/08/06			EUFSR-RUS~EUFSR-RUS-VES
7076925	Primary	JAGUAR				VESSEL											{INT-IMO}9354301	~,~	UNKNOWN	UNKNOWN	E					2025/08/05			EUFSR-RUS~EUFSR-RUS-VES
7076925	Alias	JAGUAR		Zaliv Amerika		VESSEL											{INT-IMO}9354301	~,~	UNKNOWN	UNKNOWN	E					2025/08/05			EUFSR-RUS~EUFSR-RUS-VES
7077313	Primary	ZALIV ANIVA				VESSEL											{INT-IMO}9418494	~,~	UNKNOWN	UNKNOWN	E					2025/08/06			EUFSR-RUS~EUFSR-RUS-VES
7077330	Primary	YURI SENKEVICH				VESSEL											{INT-IMO}9301419	~,~	UNKNOWN	UNKNOWN	E					2025/08/05			EUFSR-RUS~EUFSR-RUS-VES
7077400	Primary	VANGUARD				VESSEL											{INT-IMO}9311622	~,~	UNKNOWN	UNKNOWN	E					2025/08/07			EUFSR-RUS~EUFSR-RUS-VES
7077411	Primary	VLADIMIR ASENYEV				VESSEL											{INT-IMO}9901025	~,~	UNKNOWN	UNKNOWN	E					2025/08/06			EUFSR-RUS~EUFSR-RUS-VES
7077431	Primary	JUPITER				VESSEL											{INT-IMO}9397535	~,~	UNKNOWN	UNKNOWN	E					2025/10/23			EUFSR-RUS~EUFSR-RUS-VES
7077511	Primary	LA PEROUSE				VESSEL											{INT-IMO}9849887	~,~	UNKNOWN	UNKNOWN	E					2025/08/05			EUFSR-RUS~EUFSR-RUS-VES
7077526	Primary	VIKTOR TITOV				VESSEL											{INT-IMO}9301407	~,~	UNKNOWN	UNKNOWN	E					2025/08/05			EUFSR-RUS~EUFSR-RUS-VES
7077545	Primary	NOBLE				VESSEL											{INT-IMO}9333400	~,~	UNKNOWN	UNKNOWN	E					2025/08/06			EUFSR-RUS~EUFSR-RUS-VES
7077554	Primary	VIKTOR BAKAEV				VESSEL											{INT-IMO}9610810	~,~	UNKNOWN	UNKNOWN	E					2025/08/06			EUFSR-RUS~EUFSR-RUS-VES
7077580	Primary	PHOENIX				VESSEL											{INT-IMO}9333424	~,~	UNKNOWN	UNKNOWN	E					2025/08/05			EUFSR-RUS~EUFSR-RUS-VES
7077674	Primary	VICTOR KONETSKY				VESSEL											{INT-IMO}9301421	~,~	UNKNOWN	UNKNOWN	E					2025/08/05			EUFSR-RUS~EUFSR-RUS-VES
7077679	Primary	PREMIER				VESSEL											{INT-IMO}9577082	~,~	UNKNOWN	UNKNOWN	E					2025/08/05			EUFSR-RUS~EUFSR-RUS-VES
7077686	Primary	VOYAGER				VESSEL											{INT-IMO}9843560	~,~	UNKNOWN	UNKNOWN	E					2025/08/15			EUFSR-RUS~EUFSR-RUS-VES
7077710	Primary	VALERA				VESSEL											{INT-IMO}9630004	~,~	UNKNOWN	UNKNOWN	E					2025/08/07			EUFSR-RUS~EUFSR-RUS-VES
7077734	Primary	PRIMORYE				VESSEL											{INT-IMO}9421960	~,~	UNKNOWN	UNKNOWN	E					2025/08/06			EUFSR-RUS~EUFSR-RUS-VES
7077861	Primary	PATHFINDER				VESSEL											{INT-IMO}9577094	~,~	UNKNOWN	UNKNOWN	E					2025/08/05			EUFSR-RUS~EUFSR-RUS-VES
7077892	Primary	VASILY DINKOV				VESSEL											{INT-IMO}9372547	~,~	UNKNOWN	UNKNOWN	E					2025/12/18			EUFSR-RUS~EUFSR-RUS-VES
7077912	Primary	TRIUMPH				VESSEL											{INT-IMO}9344033	~,~	UNKNOWN	UNKNOWN	E					2025/08/06			EUFSR-RUS~EUFSR-RUS-VES
7077932	Primary	AKAR WEST				VESSEL											{INT-IMO}9258167	~,~	UNKNOWN	UNKNOWN	E					2025/08/07			EUFSR-RUS~EUFSR-RUS-VES
7077946	Primary	TRUST				VESSEL											{INT-IMO}9382798	~,~	UNKNOWN	UNKNOWN	E					2025/08/05			EUFSR-RUS~EUFSR-RUS-VES
7077955	Primary	TOPAZ				VESSEL											{INT-IMO}9292034	~,~	UNKNOWN	UNKNOWN	E					2025/08/08			EUFSR-RUS~EUFSR-RUS-VES
7078013	Primary	NOVA CREST				VESSEL											{INT-IMO}9292046	~,~	UNKNOWN	UNKNOWN	E					2025/10/23			EUFSR-RUS~EUFSR-RUS-VES
7078013	Alias	NOVA CREST		HASAN EAST		VESSEL											{INT-IMO}9292046	~,~	UNKNOWN	UNKNOWN	E					2025/10/23			EUFSR-RUS~EUFSR-RUS-VES
7078031	Primary	TIMOFEY GUZHENKO				VESSEL											{INT-IMO}9372561	~,~	UNKNOWN	UNKNOWN	E					2025/12/18			EUFSR-RUS~EUFSR-RUS-VES
7078066	Primary	TANGO				VESSEL											{INT-IMO}9292058	~,~	UNKNOWN	UNKNOWN	E					2025/08/08			EUFSR-RUS~EUFSR-RUS-VES
7078076	Primary	SATURN				VESSEL											{INT-IMO}9421972	~,~	UNKNOWN	UNKNOWN	E					2025/08/05			EUFSR-RUS~EUFSR-RUS-VES
7078098	Primary	TALISMAN				VESSEL											{INT-IMO}9292060	~,~	UNKNOWN	UNKNOWN	E					2025/08/06			EUFSR-RUS~EUFSR-RUS-VES
7078117	Primary	SIRIUS				VESSEL											{INT-IMO}9422445	~,~	UNKNOWN	UNKNOWN	E					2025/08/05			EUFSR-RUS~EUFSR-RUS-VES
7078119	Primary	UNIVERSAL				VESSEL											{INT-IMO}9384306	~,~	UNKNOWN	UNKNOWN	E					2025/08/06			EUFSR-RUS~EUFSR-RUS-VES
7078123	Primary	SIERRA				VESSEL											{INT-IMO}9522324	~,~	UNKNOWN	UNKNOWN	E					2025/08/05			EUFSR-RUS~EUFSR-RUS-VES
7078136	Primary	ENIGMA				VESSEL											{INT-IMO}9333412	~,~	UNKNOWN	UNKNOWN	E					2025/08/07			EUFSR-RUS~EUFSR-RUS-VES
7078149	Primary	SHTURMAN ALBANOV				VESSEL											{INT-IMO}9752084	~,~	UNKNOWN	UNKNOWN	E					2025/08/06			EUFSR-RUS~EUFSR-RUS-VES
7078167	Primary	SHTURMAN MALYGIN				VESSEL											{INT-IMO}9752096	~,~	UNKNOWN	UNKNOWN	E					2025/12/18			EUFSR-RUS~EUFSR-RUS-VES
7078188	Primary	SHTURMAN OVTSYN				VESSEL											{INT-IMO}9752101	~,~	UNKNOWN	UNKNOWN	E					2025/12/18			EUFSR-RUS~EUFSR-RUS-VES
7092004	Primary	MARLIN				VESSEL											{INT-IMO}9585912	~,~	UNKNOWN	UNKNOWN	E					2025/08/08			EUFSR-RUS~EUFSR-RUS-VES
7094859	Primary	FLURA				VESSEL											{INT-IMO}9354636	~,~	UNKNOWN	UNKNOWN	E					2025/08/08			EUFSR-RUS~EUFSR-RUS-VES
7102573	Primary	VANINO				VESSEL											{INT-IMO}8724779	~,~	UNKNOWN	UNKNOWN	E					2025/10/23			EUFSR-RUS~EUFSR-RUS-VES
7103042	Primary	VELES				VESSEL											{INT-IMO}9299173	~,~	UNKNOWN	UNKNOWN	E					2025/08/07			EUFSR-RUS~EUFSR-RUS-VES
7106452	Primary	RN SAKHALIN				VESSEL											{INT-IMO}9650016	~,~	UNKNOWN	UNKNOWN	E					2025/10/23			EUFSR-RUS~EUFSR-RUS-VES
7106530	Primary	VENUS III				VESSEL											{INT-IMO}9599353	~,~	UNKNOWN	UNKNOWN	E					2026/04/24			EUFSR-RUS~EUFSR-RUS-VES
7132060	Primary	HATTI				VESSEL											{INT-IMO}9247883	~,~	UNKNOWN	UNKNOWN	E					2025/08/06			EUFSR-RUS~EUFSR-RUS-VES
7148691	Primary	MT KONSTANTINOVSK				VESSEL											{INT-IMO}9113276	~,~	UNKNOWN	UNKNOWN	E					2025/08/08			EUFSR-RUS~EUFSR-RUS-VES
7149322	Primary	SANAR 18				VESSEL											{INT-IMO}9645011	~,~	UNKNOWN	UNKNOWN	E					2025/08/08			EUFSR-RUS~EUFSR-RUS-VES
7149471	Primary	ALEKSEY SAVRASOV				VESSEL											{INT-IMO}9645061	~,~	UNKNOWN	UNKNOWN	E					2025/10/23			EUFSR-RUS~EUFSR-RUS-VES
7151911	Primary	VLADIMIR MONOMAKH				VESSEL											{INT-IMO}9842176	~,~	UNKNOWN	UNKNOWN	E					2025/08/07			EUFSR-RUS~EUFSR-RUS-VES
7214590	Primary	FURIA				VESSEL											{INT-IMO}9257802	~,~	UNKNOWN	UNKNOWN	E					2025/10/23			EUFSR-RUS~EUFSR-RUS-VES
7214777	Primary	DENEB				VESSEL											{INT-IMO}9301524	~,~	UNKNOWN	UNKNOWN	E					2025/08/07			EUFSR-RUS~EUFSR-RUS-VES
7214783	Primary	SEA MARINE I				VESSEL											{INT-IMO}9255830	~,~	UNKNOWN	UNKNOWN	E					2025/08/07			EUFSR-RUS~EUFSR-RUS-VES
7214800	Primary	LONGEVITY 7				VESSEL											{INT-IMO}9240885	~,~	UNKNOWN	UNKNOWN	E					2025/10/24			EUFSR-RUS~EUFSR-RUS-VES
7242825	Primary	BLUE				VESSEL											{INT-IMO}9236353	~,~	UNKNOWN	UNKNOWN	E					2025/08/07			EUFSR-RUS~EUFSR-RUS-VES
7326819	Primary	BELOMOR				VESSEL											{INT-IMO}9384435	~,~	UNKNOWN	UNKNOWN	E					2025/10/24			EUFSR-RUS~EUFSR-RUS-VES
7326875	Primary	JI SHUN				VESSEL											{INT-IMO}9384447	~,~	UNKNOWN	UNKNOWN	E					2025/08/06			EUFSR-RUS~EUFSR-RUS-VES
7326903	Primary	ONEGA				VESSEL											{INT-IMO}9384459	~,~	UNKNOWN	UNKNOWN	E					2025/10/24			EUFSR-RUS~EUFSR-RUS-VES
7327724	Primary	OKEANSKY PROSPECT				VESSEL											{INT-IMO}9866380	~,~	UNKNOWN	UNKNOWN	E					2025/08/05			EUFSR-RUS~EUFSR-RUS-VES
7346071	Primary	ASCENDANT				VESSEL											{INT-IMO}9248801	~,~	UNKNOWN	UNKNOWN	E					2025/08/06			EUFSR-RUS~EUFSR-RUS-VES
7358286	Primary	XING CHEN				VESSEL											{INT-IMO}9550682	~,~	UNKNOWN	UNKNOWN	E					2025/10/23			EUFSR-RUS~EUFSR-RUS-VES
7358321	Primary	JEWEL				VESSEL											{INT-IMO}9419450	~,~	UNKNOWN	UNKNOWN	E					2025/12/18			EUFSR-RUS~EUFSR-RUS-VES
